"Name","Section","Type","Title","Note","Day Of Week","First Date","Last Date","Published Start","Published End","Location","Capacity","Instructor / Organization","Email","Additional Considerations","Approved",
"ECE 20875","Offering","Midterm Examination","Data Science Using Python",,"Th","11/12/2026",,"8:00p","9:00p","UC 114","273","Qiu, Qiang","qqiu@purdue.edu",,"08/06/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","BHEE 129","468","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","CL50 224","470","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","FRNY G140","234","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","LILY 1105","446","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","ME 1130","120","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","MSEE B012","96","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","PHYS 112","269","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","WALC 1055 (Hiler Thtr)","329","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","WTHR 104","138","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"W","11/18/2026",,"8:00p","9:00p","WTHR 200","480","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","BHEE 129","468","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","LILY 1105","446","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","ME 1061","158","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","STEW 183 (Loeb Plyhs)","1016","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","WALC 1055 (Hiler Thtr)","329","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","WTHR 172","151","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"MA 26100","Offering","Midterm Examination","Multivariate Calculus",,"M","10/05/2026",,"8:00p","9:00p","WTHR 200","480","Johnstone, Daniel Lentine","johnstdl@purdue.edu",,"07/29/2026",
"ECE 29401 Breakout Session
  ECE 29401","Offering","Course","ECE Sophomore Seminar ",,"T","09/08/2026",,"10:30a","11:20a","MSEE B012","96",,,,"06/10/2026",
"ECE 29401 Breakout Session
  ECE 29401","Offering","Course","ECE Sophomore Seminar ",,"T","11/10/2026",,"10:30a","11:20a","MSEE B012","96",,,,"06/10/2026",
